property_id,postal_code,market_value,squared_m,num_rooms,wall_color,wall_color_hex,locker_number
PR-00148,PC-029,79396.61,48.7,1,Mustard Yellow,#E1AD01,172
PR-00149,PC-025,432591.87,206.1,7,Terracotta,#E2725B,111
PR-00150,PC-034,407377.29,144.9,5,Terracotta,#E2725B,283
PR-00151,PC-005,331751.16,71.9,3,Slate Gray,#708090,35
PR-00152,PC-007,366019.58,199.3,7,Forest Green,#228B22,296
PR-00153,PC-029,253259.76,185.6,6,Terracotta,#E2725B,196
PR-00154,PC-034,432758.68,158.0,6,Sand Beige,#F4E1C1,33
PR-00155,PC-046,361905.66,149.0,5,Blush Pink,#F9C6C9,84
PR-00156,PC-044,435254.04,137.4,5,Mustard Yellow,#E1AD01,191
PR-00157,PC-048,520862.66,155.5,6,Sage Green,#9CAF88,11
PR-00158,PC-019,285122.99,50.1,3,Sand Beige,#F4E1C1,128
PR-00159,PC-017,279518.37,104.0,2,Ivory White,#FFFFF0,211
PR-00160,PC-022,322604.79,81.7,3,Sage Green,#9CAF88,79
PR-00161,PC-042,388942.4,177.8,6,Sage Green,#9CAF88,6
PR-00162,PC-005,439318.79,152.2,5,Ivory White,#FFFFF0,245
PR-00163,PC-038,509224.55,184.0,7,Forest Green,#228B22,267
PR-00164,PC-042,235823.87,67.8,2,Sky Blue,#87CEEB,183
PR-00165,PC-039,495614.33,212.8,8,Terracotta,#E2725B,88
PR-00166,PC-038,449337.46,140.9,4,Sand Beige,#F4E1C1,294
PR-00167,PC-025,220965.13,49.3,1,Sky Blue,#87CEEB,2
PR-00168,PC-022,419616.3,163.9,4,Sand Beige,#F4E1C1,175
PR-00169,PC-047,368386.89,119.5,4,Mustard Yellow,#E1AD01,29
PR-00170,PC-050,318551.26,115.5,4,Blush Pink,#F9C6C9,205
PR-00171,PC-018,285861.22,108.4,5,Sky Blue,#87CEEB,21
PR-00172,PC-020,525818.93,214.3,7,Forest Green,#228B22,131
PR-00173,PC-047,395222.99,128.2,5,Slate Gray,#708090,67
PR-00174,PC-045,302188.03,158.0,5,Sage Green,#9CAF88,9
PR-00175,PC-018,421380.71,217.7,8,Slate Gray,#708090,132
PR-00176,PC-029,278352.49,200.5,7,Terracotta,#E2725B,237
PR-00177,PC-040,345429.99,86.2,3,Blush Pink,#F9C6C9,37
PR-00178,PC-013,484867.58,159.7,6,Forest Green,#228B22,56
PR-00179,PC-044,429940.98,135.6,4,Mustard Yellow,#E1AD01,115
PR-00180,PC-008,394607.15,72.3,3,Mustard Yellow,#E1AD01,275
PR-00181,PC-009,501688.88,185.3,6,Sage Green,#9CAF88,149
PR-00182,PC-006,471636.46,208.6,7,Sky Blue,#87CEEB,299
PR-00183,PC-006,381901.32,137.8,5,Terracotta,#E2725B,259
PR-00184,PC-006,426695.52,169.6,6,Terracotta,#E2725B,45
PR-00185,PC-012,439812.58,196.1,6,Ivory White,#FFFFF0,182
PR-00186,PC-043,197194.62,74.9,3,Sage Green,#9CAF88,267
PR-00187,PC-023,268837.36,45.3,1,Sky Blue,#87CEEB,119
PR-00188,PC-026,225317.01,83.3,3,Sand Beige,#F4E1C1,56
PR-00189,PC-038,485589.66,174.4,5,Blush Pink,#F9C6C9,263
PR-00190,PC-001,457505.51,191.8,7,Terracotta,#E2725B,176
PR-00191,PC-033,335118.78,57.7,2,Ivory White,#FFFFF0,83
PR-00192,PC-048,490199.8,129.3,5,Ivory White,#FFFFF0,106
PR-00193,PC-018,261780.18,101.9,2,Slate Gray,#708090,179
PR-00194,PC-032,413595.85,70.7,2,Sky Blue,#87CEEB,278
PR-00195,PC-011,288125.1,68.3,2,Charcoal Black,#36454F,64
PR-00196,PC-014,379266.05,121.8,4,Forest Green,#228B22,129
PR-00197,PC-043,278855.59,143.0,4,Mustard Yellow,#E1AD01,248
PR-00198,PC-032,531612.67,168.8,5,Slate Gray,#708090,172
PR-00199,PC-031,381836.84,188.8,6,Sage Green,#9CAF88,167
PR-00200,PC-029,120298.83,85.6,3,Charcoal Black,#36454F,170
PR-00201,PC-009,434156.1,129.6,5,Slate Gray,#708090,170
PR-00202,PC-035,325237.4,147.6,5,Blush Pink,#F9C6C9,218
PR-00203,PC-049,582975.34,206.5,8,Charcoal Black,#36454F,293
PR-00204,PC-014,462093.77,190.2,7,Forest Green,#228B22,86
PR-00205,PC-040,491223.25,195.5,7,Mustard Yellow,#E1AD01,244
PR-00206,PC-015,366859.7,142.5,5,Slate Gray,#708090,256
PR-00207,PC-022,358034.93,106.9,4,Mustard Yellow,#E1AD01,199
PR-00208,PC-009,361202.21,77.8,3,Ivory White,#FFFFF0,55
PR-00209,PC-035,292305.74,113.3,5,Ivory White,#FFFFF0,187
PR-00210,PC-032,600877.48,219.7,7,Blush Pink,#F9C6C9,133
PR-00211,PC-032,547673.17,176.4,6,Charcoal Black,#36454F,266
PR-00212,PC-006,301274.24,79.4,3,Sky Blue,#87CEEB,122
PR-00213,PC-037,424792.75,136.0,5,Ivory White,#FFFFF0,188
PR-00214,PC-008,401506.15,84.2,2,Ivory White,#FFFFF0,259
PR-00215,PC-049,415565.86,84.2,2,Mustard Yellow,#E1AD01,172
PR-00216,PC-035,207858.5,53.6,2,Sage Green,#9CAF88,28
PR-00217,PC-045,330223.63,173.8,7,Blush Pink,#F9C6C9,159
PR-00218,PC-006,343297.79,110.2,3,Sage Green,#9CAF88,169
PR-00219,PC-023,327845.0,83.9,3,Sky Blue,#87CEEB,249
PR-00220,PC-014,342242.5,96.1,4,Charcoal Black,#36454F,49
PR-00221,PC-038,344042.28,54.7,2,Slate Gray,#708090,296
PR-00222,PC-009,474230.71,167.4,5,Sage Green,#9CAF88,197
PR-00223,PC-042,305713.74,118.4,4,Sage Green,#9CAF88,125
PR-00224,PC-011,478250.23,213.5,8,Blush Pink,#F9C6C9,67
PR-00225,PC-031,406758.25,203.7,7,Forest Green,#228B22,277
PR-00226,PC-048,549491.67,179.8,6,Charcoal Black,#36454F,245
PR-00227,PC-034,377189.23,115.2,4,Ivory White,#FFFFF0,120
PR-00228,PC-031,285530.99,117.2,4,Slate Gray,#708090,274
PR-00229,PC-015,461249.88,211.9,8,Charcoal Black,#36454F,50
PR-00230,PC-038,365173.56,70.2,3,Charcoal Black,#36454F,31
PR-00231,PC-044,490443.62,183.8,6,Sage Green,#9CAF88,149
PR-00232,PC-038,537256.29,204.8,7,Blush Pink,#F9C6C9,249
PR-00233,PC-046,319967.51,115.7,5,Sage Green,#9CAF88,154
PR-00234,PC-019,410697.12,147.8,6,Sand Beige,#F4E1C1,157
PR-00235,PC-011,289334.31,70.5,3,Ivory White,#FFFFF0,195
PR-00236,PC-021,407676.87,153.8,5,Blush Pink,#F9C6C9,5
PR-00237,PC-045,170559.72,59.2,1,Mustard Yellow,#E1AD01,240
PR-00238,PC-039,474184.19,203.5,6,Ivory White,#FFFFF0,18
PR-00239,PC-014,259658.72,41.8,1,Mustard Yellow,#E1AD01,288
PR-00240,PC-013,398537.11,98.1,3,Sand Beige,#F4E1C1,207
PR-00241,PC-004,407820.25,119.8,4,Sand Beige,#F4E1C1,133
PR-00242,PC-011,438633.55,180.9,6,Mustard Yellow,#E1AD01,237
PR-00243,PC-015,335421.04,106.8,4,Ivory White,#FFFFF0,182
PR-00244,PC-027,370262.09,105.1,3,Mustard Yellow,#E1AD01,84
PR-00245,PC-008,550534.96,198.3,6,Sage Green,#9CAF88,258
PR-00246,PC-028,345091.84,151.8,4,Sage Green,#9CAF88,279
PR-00247,PC-027,419505.98,135.3,5,Sage Green,#9CAF88,287
PR-00248,PC-050,332678.27,134.9,4,Sage Green,#9CAF88,179
PR-00249,PC-020,408730.87,122.8,4,Sky Blue,#87CEEB,201
PR-00250,PC-005,332793.02,72.4,3,Sand Beige,#F4E1C1,204
PR-00251,PC-049,502772.05,141.2,5,Charcoal Black,#36454F,126
PR-00252,PC-041,246953.7,66.8,2,Sand Beige,#F4E1C1,279
PR-00253,PC-038,385700.65,96.6,3,Mustard Yellow,#E1AD01,12
PR-00254,PC-003,284813.0,141.0,4,Blush Pink,#F9C6C9,173
PR-00255,PC-049,543328.94,171.1,6,Blush Pink,#F9C6C9,18
PR-00256,PC-029,249734.14,179.2,6,Blush Pink,#F9C6C9,149
PR-00257,PC-005,304247.83,51.2,1,Forest Green,#228B22,88
PR-00258,PC-007,220685.68,94.9,3,Sage Green,#9CAF88,73
PR-00259,PC-013,431558.82,123.3,4,Forest Green,#228B22,297
PR-00260,PC-037,477660.71,173.3,6,Forest Green,#228B22,20
PR-00261,PC-026,387751.65,215.4,7,Ivory White,#FFFFF0,21
PR-00262,PC-004,369502.56,87.8,4,Sky Blue,#87CEEB,179
PR-00263,PC-035,414350.89,217.2,6,Mustard Yellow,#E1AD01,98
PR-00264,PC-037,452627.78,159.3,5,Sage Green,#9CAF88,263
PR-00265,PC-039,385309.74,134.2,4,Blush Pink,#F9C6C9,50
PR-00266,PC-046,234751.4,59.6,1,Ivory White,#FFFFF0,251
PR-00267,PC-034,269825.55,40.2,1,Terracotta,#E2725B,50
PR-00268,PC-004,489237.8,174.3,7,Sage Green,#9CAF88,131
PR-00269,PC-008,515080.4,162.2,5,Blush Pink,#F9C6C9,276
PR-00270,PC-050,399817.99,179.8,7,Mustard Yellow,#E1AD01,49
PR-00271,PC-017,300601.66,115.0,3,Blush Pink,#F9C6C9,273
PR-00272,PC-001,349157.8,109.5,4,Sky Blue,#87CEEB,181
PR-00273,PC-033,454882.87,156.3,5,Ivory White,#FFFFF0,141
PR-00274,PC-009,313093.29,44.2,1,Charcoal Black,#36454F,248
PR-00275,PC-011,288253.37,66.3,2,Sky Blue,#87CEEB,9
PR-00276,PC-003,272568.64,134.4,4,Slate Gray,#708090,162
PR-00277,PC-034,429057.35,159.9,5,Mustard Yellow,#E1AD01,96
PR-00278,PC-039,469019.12,190.7,7,Terracotta,#E2725B,224
PR-00279,PC-008,435256.81,107.2,4,Forest Green,#228B22,114
PR-00280,PC-029,135509.29,94.3,4,Slate Gray,#708090,187
PR-00281,PC-015,277040.04,76.4,2,Charcoal Black,#36454F,113
PR-00282,PC-049,476551.55,123.5,4,Blush Pink,#F9C6C9,153
PR-00283,PC-048,610312.63,218.5,8,Blush Pink,#F9C6C9,297
PR-00284,PC-022,405928.4,140.2,6,Terracotta,#E2725B,109
PR-00285,PC-024,417476.9,191.7,6,Charcoal Black,#36454F,42
PR-00286,PC-036,347932.2,78.1,3,Sand Beige,#F4E1C1,87
PR-00287,PC-014,355241.28,115.0,4,Sky Blue,#87CEEB,184
PR-00288,PC-036,454853.62,161.7,5,Terracotta,#E2725B,26
PR-00289,PC-040,321866.86,70.2,2,Sand Beige,#F4E1C1,90
PR-00290,PC-020,497304.95,187.6,7,Terracotta,#E2725B,263
PR-00291,PC-024,347485.3,149.3,4,Terracotta,#E2725B,262
PR-00292,PC-038,474752.29,154.2,7,Sand Beige,#F4E1C1,83
PR-00293,PC-030,247917.56,60.5,2,Terracotta,#E2725B,69
PR-00294,PC-030,446233.98,213.6,6,Mustard Yellow,#E1AD01,281
PR-00295,PC-039,263814.85,41.0,2,Charcoal Black,#36454F,205
PR-00296,PC-036,299461.32,37.1,2,Terracotta,#E2725B,179
PR-00297,PC-047,278023.72,43.4,2,Slate Gray,#708090,229
PR-00298,PC-005,402645.08,127.4,4,Slate Gray,#708090,146
PR-00299,PC-015,329026.9,121.3,3,Blush Pink,#F9C6C9,21
PR-00300,PC-007,365389.02,206.4,6,Charcoal Black,#36454F,256
PR-00301,PC-037,373727.84,96.4,4,Ivory White,#FFFFF0,113
PR-00302,PC-005,354380.28,89.4,3,Sage Green,#9CAF88,64
PR-00303,PC-037,447055.06,155.4,5,Sky Blue,#87CEEB,219
PR-00304,PC-010,408590.98,125.4,4,Slate Gray,#708090,58
PR-00305,PC-012,395073.74,160.6,4,Sage Green,#9CAF88,111
PR-00306,PC-039,413570.5,153.6,5,Blush Pink,#F9C6C9,231
PR-00307,PC-012,417974.8,165.2,6,Blush Pink,#F9C6C9,144
PR-00308,PC-019,409137.76,153.2,5,Sky Blue,#87CEEB,258
PR-00309,PC-031,195418.8,36.1,2,Terracotta,#E2725B,273
PR-00310,PC-025,305691.01,105.8,3,Sand Beige,#F4E1C1,230
PR-00311,PC-028,296214.25,104.8,4,Sand Beige,#F4E1C1,69
PR-00312,PC-001,413734.01,158.5,6,Forest Green,#228B22,56
PR-00313,PC-022,458379.93,182.1,7,Blush Pink,#F9C6C9,77
PR-00314,PC-003,348399.77,180.4,6,Charcoal Black,#36454F,151
PR-00315,PC-021,444134.99,181.2,5,Mustard Yellow,#E1AD01,203
PR-00316,PC-027,490458.16,190.9,6,Blush Pink,#F9C6C9,97
PR-00317,PC-035,264973.54,101.4,3,Charcoal Black,#36454F,8
PR-00318,PC-012,475098.81,219.1,7,Sage Green,#9CAF88,195
PR-00319,PC-049,368526.41,42.8,2,Ivory White,#FFFFF0,136
PR-00320,PC-024,376565.32,177.5,5,Sky Blue,#87CEEB,250
PR-00321,PC-016,378258.78,128.9,5,Mustard Yellow,#E1AD01,275
PR-00322,PC-046,297381.15,108.9,3,Ivory White,#FFFFF0,96
PR-00323,PC-047,422053.0,154.3,5,Sky Blue,#87CEEB,243
PR-00324,PC-045,213213.14,89.7,4,Mustard Yellow,#E1AD01,115
PR-00325,PC-025,405323.06,184.6,5,Charcoal Black,#36454F,247
PR-00326,PC-048,587354.49,217.1,7,Sky Blue,#87CEEB,70
PR-00327,PC-041,268249.61,87.7,3,Mustard Yellow,#E1AD01,60
PR-00328,PC-028,221479.66,52.5,2,Ivory White,#FFFFF0,148
PR-00329,PC-023,323436.92,95.2,2,Slate Gray,#708090,82
PR-00330,PC-040,390770.82,126.6,4,Sand Beige,#F4E1C1,134
PR-00331,PC-049,402521.58,66.9,2,Blush Pink,#F9C6C9,294
PR-00332,PC-019,362263.73,119.2,4,Terracotta,#E2725B,146
PR-00333,PC-013,395443.0,94.1,3,Ivory White,#FFFFF0,128
PR-00334,PC-039,466076.1,187.3,7,Sky Blue,#87CEEB,177
PR-00335,PC-028,367340.58,160.9,6,Terracotta,#E2725B,142
PR-00336,PC-009,377318.27,96.7,2,Slate Gray,#708090,259
PR-00337,PC-009,327667.23,59.5,1,Ivory White,#FFFFF0,211
PR-00338,PC-043,238770.1,106.5,4,Sage Green,#9CAF88,219
PR-00339,PC-034,516941.78,218.2,8,Blush Pink,#F9C6C9,275
PR-00340,PC-024,215384.27,45.2,1,Sage Green,#9CAF88,19
PR-00341,PC-020,310167.18,47.5,1,Forest Green,#228B22,278
PR-00342,PC-034,323973.46,83.6,1,Charcoal Black,#36454F,60
PR-00343,PC-014,289549.53,58.6,3,Sage Green,#9CAF88,260
PR-00344,PC-015,375887.6,143.1,5,Terracotta,#E2725B,284
PR-00345,PC-045,282558.76,146.9,5,Terracotta,#E2725B,6
PR-00346,PC-010,501960.89,192.5,7,Blush Pink,#F9C6C9,132
PR-00347,PC-003,178792.34,51.1,2,Sky Blue,#87CEEB,21
PR-00348,PC-048,563094.92,187.9,7,Slate Gray,#708090,229
PR-00349,PC-014,395933.61,141.9,4,Ivory White,#FFFFF0,200
PR-00350,PC-036,470708.98,169.3,6,Blush Pink,#F9C6C9,189
PR-00351,PC-007,320666.96,167.7,5,Forest Green,#228B22,148
PR-00352,PC-009,371559.6,90.2,3,Ivory White,#FFFFF0,41
PR-00353,PC-020,455334.96,160.7,5,Slate Gray,#708090,155
PR-00354,PC-008,360817.71,43.1,1,Terracotta,#E2725B,253
PR-00355,PC-011,354759.77,121.3,3,Sky Blue,#87CEEB,219
PR-00356,PC-003,252208.02,115.3,4,Charcoal Black,#36454F,244
PR-00357,PC-020,452738.3,154.1,5,Forest Green,#228B22,58
PR-00358,PC-027,440888.25,160.6,5,Forest Green,#228B22,224
PR-00359,PC-033,428294.29,135.3,3,Forest Green,#228B22,6
PR-00360,PC-048,432113.63,86.8,3,Mustard Yellow,#E1AD01,242
PR-00361,PC-043,170685.51,62.3,1,Slate Gray,#708090,111
PR-00362,PC-007,373590.25,210.8,7,Sand Beige,#F4E1C1,227
PR-00363,PC-037,485655.94,185.9,6,Terracotta,#E2725B,75
PR-00364,PC-028,346140.32,143.7,6,Sage Green,#9CAF88,105
PR-00365,PC-002,291735.94,100.1,3,Sand Beige,#F4E1C1,19
PR-00366,PC-043,239628.75,110.4,3,Sand Beige,#F4E1C1,274
PR-00367,PC-012,258822.59,54.5,2,Slate Gray,#708090,228
PR-00368,PC-044,472649.76,162.5,6,Blush Pink,#F9C6C9,209
PR-00369,PC-038,364784.78,69.3,3,Blush Pink,#F9C6C9,225
PR-00370,PC-011,311698.59,89.4,3,Terracotta,#E2725B,94
