station_id,monthly_temp,monthly_precipitations,monthly_wind_speed,monthly_humidity
PR-00118,18.0,59.3,12.2,62.8
PR-00119,18.9,51.5,12.2,63.3
PR-00120,14.5,62.3,12.0,54.9
PR-00121,15.3,63.8,11.3,56.5
PR-00122,20.2,52.7,13.2,63.3
PR-00123,16.3,65.9,11.6,56.7
PR-00124,19.4,55.9,12.2,60.8
PR-00125,18.9,53.8,13.0,62.9
PR-00126,17.3,64.5,12.3,57.1
PR-00127,16.3,63.0,11.7,59.6
PR-00128,15.6,65.1,11.6,56.2
PR-00129,17.5,58.6,12.8,60.7
PR-00130,18.9,54.4,12.5,62.1
PR-00131,21.0,52.1,13.0,65.1
PR-00132,14.7,64.3,10.7,57.6
PR-00133,16.4,58.9,11.9,58.3
PR-00134,16.3,61.8,11.8,54.6
PR-00135,15.0,70.7,11.0,56.0
PR-00136,10.7,78.7,9.9,49.8
PR-00137,17.3,62.3,11.3,57.6
PR-00138,13.3,70.6,11.0,54.5
PR-00139,12.7,73.9,9.9,51.8
PR-00140,16.4,68.5,11.0,58.7
PR-00141,15.9,68.6,11.4,58.8
PR-00142,16.1,63.1,12.1,56.0
PR-00143,18.6,61.3,11.7,58.8
PR-00144,17.1,64.4,11.8,56.6
PR-00145,20.3,54.7,13.2,64.2
PR-00146,17.2,66.1,12.3,58.5
PR-00147,17.3,69.4,11.9,59.6
PR-00148,18.8,57.9,11.7,59.8
PR-00149,19.8,49.1,12.9,64.6
PR-00150,15.7,66.8,11.8,58.7
PR-00151,16.2,61.6,12.4,59.3
PR-00152,15.7,64.3,11.4,58.3
PR-00153,21.7,56.0,12.7,64.8
PR-00154,19.3,55.3,13.3,60.8
PR-00155,18.2,57.7,12.7,61.3
PR-00156,15.7,60.1,11.8,60.8
PR-00157,13.4,70.0,11.0,55.4
PR-00158,19.1,57.9,12.6,63.4
PR-00159,14.7,68.8,11.4,59.1
PR-00160,13.2,66.7,11.1,55.8
PR-00161,17.0,63.7,12.0,60.5
PR-00162,15.8,66.5,11.1,59.3
PR-00163,18.9,58.9,11.8,61.9
PR-00164,21.3,50.2,13.0,65.7
PR-00165,18.4,61.8,12.5,58.2
PR-00166,13.9,68.0,11.1,56.0
PR-00167,16.6,67.2,11.7,58.0
PR-00168,19.1,56.6,12.1,61.8
PR-00169,18.1,58.7,11.9,59.7
PR-00170,15.0,67.0,11.4,58.2
PR-00171,14.4,67.6,11.2,53.7
PR-00172,17.2,58.8,11.8,60.3
PR-00173,16.0,61.5,11.8,57.8
PR-00174,12.5,74.6,10.2,50.4
PR-00175,17.3,62.3,11.5,60.6
PR-00176,19.4,57.3,12.2,61.5
PR-00177,16.1,63.1,11.9,58.0
PR-00178,13.6,69.4,11.1,56.1
PR-00179,16.6,61.4,12.0,58.8
PR-00180,14.0,72.3,11.7,55.5
PR-00181,18.1,60.5,11.4,58.8
PR-00182,15.3,58.5,11.0,59.5
PR-00183,14.9,67.3,12.1,59.4
PR-00184,16.1,69.4,11.4,58.3
PR-00185,15.1,67.7,11.3,57.7
PR-00186,17.9,59.7,12.3,61.1
PR-00187,18.2,55.9,12.2,58.7
PR-00188,17.6,55.2,11.8,60.3
PR-00189,16.1,62.3,12.3,58.5
PR-00190,17.7,58.6,11.4,59.1
PR-00191,18.4,63.1,12.1,59.7
PR-00192,16.6,65.6,12.2,60.0
PR-00193,16.5,66.1,11.4,59.1
PR-00194,15.4,61.5,11.1,57.3
PR-00195,12.4,69.6,11.9,53.7
PR-00196,14.9,59.3,11.4,59.6
PR-00197,16.1,59.5,11.7,58.2
PR-00198,17.1,64.6,12.0,59.0
PR-00199,19.5,48.6,13.0,64.9
PR-00200,14.3,68.5,11.7,58.1
PR-00201,19.6,59.2,12.0,62.6
PR-00202,17.3,64.8,11.7,58.5
PR-00203,14.8,69.0,11.4,58.1
PR-00204,18.4,55.4,12.5,63.3
PR-00205,16.1,63.8,11.8,56.6
PR-00206,15.9,67.3,11.1,58.0
PR-00207,16.2,60.2,11.9,60.3
PR-00208,17.2,61.5,11.4,60.9
PR-00209,15.9,61.8,11.5,59.6
PR-00210,16.6,59.3,12.3,60.2
PR-00211,13.7,67.3,10.7,54.3
PR-00212,16.1,63.6,11.1,57.4
PR-00213,17.7,54.0,12.3,64.8
PR-00214,17.3,61.7,11.6,59.1
PR-00215,16.8,58.7,12.2,59.6
PR-00216,17.7,58.3,12.6,60.4
PR-00217,14.0,73.4,10.1,55.3
PR-00218,16.4,60.8,10.9,59.3
PR-00219,18.7,58.9,12.1,61.6
PR-00220,18.8,56.4,11.6,61.8
PR-00221,16.8,67.8,12.8,61.7
PR-00222,14.6,64.5,10.6,56.3
PR-00223,16.4,60.2,12.5,57.7
PR-00224,16.9,62.4,12.0,58.6
PR-00225,16.2,73.6,11.7,55.9
PR-00226,20.3,57.1,12.0,61.6
PR-00227,21.6,49.4,12.6,66.8
PR-00228,18.1,61.5,12.4,60.2
PR-00229,18.3,51.9,12.9,62.3
PR-00230,15.7,67.8,12.1,58.2
PR-00231,18.4,57.1,13.1,61.9
PR-00232,18.3,62.6,12.5,61.0
PR-00233,18.8,58.0,13.2,60.3
PR-00234,18.9,52.0,12.6,61.3
PR-00235,25.3,40.3,13.9,71.0
PR-00236,20.8,50.1,11.8,64.1
PR-00237,18.2,54.8,12.0,63.4
PR-00238,14.9,72.1,11.8,56.9
PR-00239,18.3,59.4,11.8,60.6
PR-00240,17.2,59.8,12.1,58.3
PR-00241,15.1,67.6,11.6,56.7
PR-00242,19.2,53.4,12.6,62.2
PR-00243,18.9,56.9,12.5,59.8
PR-00244,12.9,77.6,11.1,51.9
PR-00245,17.4,56.5,11.7,58.3
PR-00246,18.6,55.9,11.7,62.4
PR-00247,16.9,61.4,11.4,59.6
PR-00248,18.4,52.7,12.6,65.0
PR-00249,16.1,61.3,12.0,58.9
PR-00250,18.0,62.3,11.0,62.6
PR-00251,15.0,60.5,11.7,55.7
PR-00252,16.1,66.7,11.7,58.0
PR-00253,17.7,62.3,11.7,58.9
PR-00254,16.4,65.9,11.8,59.1
PR-00255,17.3,58.0,11.0,59.9
PR-00256,16.7,60.1,12.0,56.8
PR-00257,19.3,55.6,12.6,62.1
PR-00258,18.0,60.5,12.5,60.3
PR-00259,17.4,58.5,12.3,59.5
PR-00260,19.0,54.5,12.9,62.4
PR-00261,16.8,56.8,12.2,58.1
PR-00262,19.6,59.8,11.5,62.0
PR-00263,15.6,63.9,11.6,58.1
PR-00264,16.9,62.3,11.6,58.9
PR-00265,18.9,56.1,12.6,61.0
PR-00266,18.9,54.8,12.7,64.3
PR-00267,18.6,51.7,12.4,60.8
PR-00268,16.6,70.0,11.2,59.3
PR-00269,16.8,58.4,12.4,59.8
PR-00270,16.4,63.0,11.6,57.4
PR-00271,13.8,67.2,11.0,55.4
PR-00272,19.5,56.6,12.6,62.0
PR-00273,20.1,56.7,12.2,63.6
PR-00274,17.6,61.9,11.9,59.2
PR-00275,21.2,50.2,13.8,63.8
PR-00276,19.1,52.5,12.6,65.1
PR-00277,18.4,54.9,12.7,60.3
PR-00278,18.0,57.0,12.2,62.0
PR-00279,16.1,55.1,11.7,60.0
PR-00280,15.2,67.3,11.5,55.9
PR-00281,17.2,61.4,11.7,60.9
PR-00282,16.7,56.2,11.9,59.5
PR-00283,17.3,64.4,11.9,59.8
PR-00284,13.3,68.3,10.9,55.1
PR-00285,20.7,53.9,12.6,64.9
PR-00286,19.0,53.5,12.1,63.5
PR-00287,16.9,61.3,11.3,60.2
PR-00288,19.6,56.6,12.3,62.1
PR-00289,15.6,60.5,11.5,58.3
PR-00290,13.4,65.0,10.2,54.7
PR-00291,13.7,70.5,11.0,54.0
PR-00292,18.5,56.4,11.8,61.5
PR-00293,18.1,57.7,12.6,60.7
PR-00294,15.7,66.8,11.2,57.3
PR-00295,16.4,55.8,12.1,61.1
PR-00296,19.3,67.1,12.5,61.7
PR-00297,19.1,53.4,12.5,63.4
PR-00298,16.6,61.7,12.5,59.1
PR-00299,18.4,52.7,11.6,60.9
PR-00300,20.6,51.5,13.3,65.7
PR-00301,15.5,66.7,11.6,55.3
PR-00302,18.2,58.9,11.8,60.4
PR-00303,17.5,62.5,12.4,59.8
PR-00304,17.1,53.9,12.3,61.9
PR-00305,15.8,70.8,12.0,56.7
PR-00306,17.0,58.2,11.6,58.1
PR-00307,17.3,55.7,12.4,60.4
PR-00308,16.6,69.5,11.6,58.2
PR-00309,15.1,67.0,11.5,56.0
PR-00310,18.8,51.9,12.2,63.2
PR-00311,13.0,69.0,11.4,55.3
PR-00312,18.7,59.7,12.5,61.5
PR-00313,17.4,63.4,11.7,59.9
PR-00314,17.9,64.0,12.6,60.5
PR-00315,14.3,66.7,11.0,53.7
PR-00316,18.2,58.0,12.8,59.1
PR-00317,15.1,63.0,12.3,59.2
PR-00318,14.4,69.2,11.0,56.5
PR-00319,15.8,71.0,11.2,57.2
PR-00320,19.5,56.1,12.7,62.8
PR-00321,17.6,58.6,11.8,60.3
PR-00322,15.4,62.6,11.3,56.3
PR-00323,18.1,55.1,11.9,59.4
PR-00324,18.5,63.3,11.7,60.6
PR-00325,15.4,61.4,11.2,58.5
PR-00326,17.1,55.8,12.5,59.0
PR-00327,16.8,60.6,11.8,57.2
PR-00328,16.9,68.2,11.6,57.2
PR-00329,16.3,60.5,11.5,57.6
PR-00330,12.1,66.9,11.1,53.1
PR-00331,16.1,68.4,10.9,56.1
PR-00332,15.2,65.2,10.8,55.5
PR-00333,17.5,61.3,12.5,61.1
PR-00334,16.9,64.4,11.8,58.2
PR-00335,17.1,60.1,11.2,58.1
PR-00336,16.7,63.0,12.2,58.0
PR-00337,17.7,63.7,11.5,59.0
PR-00338,17.0,62.8,11.2,59.9
PR-00339,13.3,65.1,11.9,53.7
PR-00340,15.0,71.2,11.4,57.2
PR-00341,14.9,67.8,11.3,56.6
PR-00342,19.8,52.1,12.9,62.3
PR-00343,21.9,50.1,12.9,66.1
PR-00344,19.7,55.5,12.5,61.7
PR-00345,15.7,61.6,11.1,58.6
PR-00346,20.7,50.9,12.9,63.5
PR-00347,15.3,67.8,10.2,56.3
PR-00348,18.8,54.4,12.9,61.9
PR-00349,18.4,58.9,11.4,60.2
PR-00350,18.0,63.1,12.7,60.1
PR-00351,19.1,55.9,11.8,62.2
PR-00352,16.9,66.1,11.1,58.0
PR-00353,11.2,69.8,10.8,52.0
PR-00354,16.9,61.0,11.5,60.9
PR-00355,16.0,59.1,11.3,57.9
PR-00356,16.3,69.9,11.6,59.5
PR-00357,16.1,62.8,11.2,58.0
PR-00358,19.5,56.4,12.5,61.2
PR-00359,18.7,61.2,11.7,60.3
PR-00360,16.3,59.0,10.9,58.9
PR-00361,22.1,49.6,13.5,64.4
PR-00362,9.9,83.4,10.9,50.7
PR-00363,16.9,57.4,11.6,59.6
PR-00364,20.8,51.3,12.8,62.9
PR-00365,17.9,59.4,12.1,57.7
PR-00366,15.4,71.3,11.8,56.5
PR-00367,19.3,56.6,11.8,65.5
PR-00368,14.7,70.0,11.4,54.1
PR-00369,22.6,50.9,13.0,63.7
PR-00370,19.9,56.4,12.9,64.7
PR-00371,15.4,61.3,11.9,58.3
PR-00372,12.6,68.7,11.0,54.4
PR-00373,19.7,51.8,12.8,62.3
PR-00374,16.7,61.2,11.7,59.6
PR-00375,17.9,62.3,11.6,60.2
PR-00376,21.3,44.7,13.0,65.2
PR-00377,20.8,51.9,12.0,62.8
PR-00378,18.0,64.1,11.8,58.6
PR-00379,16.4,64.8,11.6,57.4
PR-00380,15.5,63.2,10.8,56.5
PR-00381,16.3,61.9,11.4,59.6
PR-00382,15.3,66.4,11.9,54.3
PR-00383,18.8,56.4,12.7,64.1
PR-00384,17.2,61.7,10.8,57.3
PR-00385,17.9,59.1,12.2,60.9
PR-00386,16.9,59.4,11.6,57.9
PR-00387,19.4,52.8,12.8,64.4
PR-00388,17.1,58.9,12.0,59.9
PR-00389,15.4,61.2,11.1,59.4
PR-00390,17.0,59.4,12.2,62.7
PR-00391,19.3,53.2,12.3,62.8
PR-00392,17.4,58.5,11.8,61.1
PR-00393,17.6,61.9,11.5,58.1
PR-00394,14.4,69.4,11.5,55.4
PR-00395,14.0,76.5,10.7,53.8
PR-00396,15.5,67.2,11.3,57.2
PR-00397,15.7,62.2,11.3,58.7
PR-00398,19.2,56.5,12.4,63.3
PR-00399,13.6,67.5,10.7,54.1
PR-00400,15.8,62.8,11.6,57.5
PR-00401,14.7,70.3,11.1,58.6
PR-00402,20.5,47.3,12.8,63.9
PR-00403,20.2,59.4,12.5,61.8
PR-00404,19.3,54.0,13.1,60.2
PR-00405,17.7,61.5,11.8,60.5
PR-00406,13.5,70.4,11.1,55.7
PR-00407,16.4,63.7,11.9,58.1
PR-00408,21.0,53.8,13.1,61.8
PR-00409,20.4,56.1,12.4,60.4
PR-00410,16.4,61.7,11.7,60.5
PR-00411,19.0,59.9,12.5,60.0
PR-00412,18.9,63.4,12.8,59.9
PR-00413,16.0,61.6,10.9,58.8
PR-00414,21.2,52.5,13.4,63.4
PR-00415,15.4,63.3,10.8,56.8
PR-00416,16.7,68.9,11.6,56.1
PR-00417,17.7,57.8,12.4,62.1
PR-00418,18.5,57.6,12.2,59.5
PR-00419,17.8,52.4,12.9,60.2
PR-00420,16.2,62.2,11.4,56.6
PR-00421,19.4,57.9,12.4,61.8
PR-00422,24.0,42.3,13.3,68.0
PR-00423,17.8,63.7,11.9,59.3
PR-00424,18.8,57.6,12.4,59.9
PR-00425,19.5,52.4,11.8,60.9
PR-00426,15.4,62.7,11.9,57.5
PR-00427,21.3,48.8,13.1,64.4
PR-00428,17.6,64.5,11.9,60.5
PR-00429,18.5,58.0,12.3,62.7
PR-00430,16.8,60.1,12.0,58.0
PR-00431,17.1,63.1,12.4,57.0
PR-00432,17.9,52.8,12.2,60.0
PR-00433,18.4,62.4,12.0,60.0
PR-00434,20.3,53.8,12.1,64.3
PR-00435,15.1,68.0,11.1,59.7
PR-00436,16.6,68.6,11.9,59.1
PR-00437,18.5,64.3,12.0,59.2
PR-00438,18.5,54.9,12.5,63.2
PR-00439,18.6,59.6,12.6,63.2
PR-00440,17.6,60.8,11.6,59.3
PR-00441,19.7,60.7,13.1,62.0
PR-00442,15.5,66.0,11.6,58.0
PR-00443,17.6,62.1,12.4,61.8
PR-00444,19.8,47.8,13.3,64.2
PR-00445,14.4,66.8,11.6,55.4
PR-00446,20.5,62.7,12.5,63.2
PR-00447,16.0,71.0,12.0,57.9
PR-00448,14.7,62.4,11.5,55.6
PR-00449,20.4,56.0,12.5,62.9
PR-00450,16.1,68.1,11.9,58.7
PR-00451,15.7,72.0,11.6,57.5
PR-00452,18.3,55.8,11.9,60.2
PR-00453,16.2,65.4,12.2,57.8
PR-00454,17.0,61.6,11.9,59.2
PR-00455,17.5,54.9,11.9,61.8
PR-00456,17.8,62.5,11.3,60.2
PR-00457,17.4,59.9,12.0,58.0
PR-00458,16.5,60.4,11.4,58.8
PR-00459,17.2,64.8,11.4,57.6
PR-00460,19.4,49.9,13.2,62.2
PR-00461,17.1,67.9,11.6,57.3
PR-00462,18.8,56.1,12.4,63.2
PR-00463,18.9,57.4,12.1,62.8
PR-00464,16.7,59.4,11.5,59.1
PR-00465,19.7,59.0,12.2,60.8
PR-00466,17.9,58.8,12.1,59.0
PR-00467,19.5,54.5,12.9,65.3
PR-00468,17.5,56.4,12.8,59.3
PR-00469,16.5,60.0,11.7,58.1
PR-00470,16.8,63.4,11.8,60.7
PR-00471,19.7,51.5,12.9,62.5
PR-00472,18.1,63.4,12.7,59.6
PR-00473,17.8,62.0,12.5,61.3
PR-00474,17.9,59.6,12.3,58.3
PR-00475,15.5,63.8,11.7,59.3
PR-00476,21.2,45.6,13.0,66.3
PR-00477,12.5,73.8,10.5,54.6
PR-00478,19.6,53.9,12.6,63.4
PR-00479,13.4,63.9,11.2,55.7
PR-00480,19.2,52.8,13.0,61.8
PR-00481,16.2,68.1,11.1,59.1
PR-00482,19.9,52.1,12.7,62.1
PR-00483,19.8,52.8,13.0,65.0
PR-00484,15.8,60.6,11.9,58.4
PR-00485,16.1,54.9,12.4,60.1
PR-00486,17.7,54.0,11.7,59.7
PR-00487,15.1,68.2,11.3,58.3
PR-00488,14.0,71.7,11.1,57.5
PR-00489,15.5,64.7,12.0,55.5
PR-00490,18.5,53.3,12.3,61.6
PR-00491,20.9,61.9,12.9,63.6
PR-00492,16.5,62.3,11.6,58.5
PR-00493,14.6,73.4,11.7,56.8
PR-00494,18.4,54.2,11.9,59.9
PR-00495,16.8,63.8,11.2,58.2
PR-00496,22.0,43.7,13.2,68.9
PR-00497,14.4,69.3,11.4,56.9
PR-00498,18.7,59.6,12.2,59.8
PR-00499,19.9,54.7,13.1,63.2
PR-00500,15.2,65.0,10.9,55.9
PR-00501,16.3,62.1,12.0,58.0
PR-00502,16.3,65.4,11.4,59.2
PR-00503,15.6,65.0,11.3,60.9
PR-00504,17.0,60.7,12.2,61.7
PR-00505,19.9,55.8,13.1,64.3
PR-00506,16.6,64.7,11.8,59.8
PR-00507,17.2,65.5,12.3,58.4
PR-00508,12.0,74.3,10.6,53.5
PR-00509,18.1,59.9,12.0,59.9
PR-00510,15.8,64.9,12.4,59.3
PR-00511,16.5,63.4,11.6,57.2
PR-00512,15.5,61.0,11.5,59.3
PR-00513,14.7,64.3,11.4,56.1
PR-00514,22.6,46.5,13.6,67.8
PR-00515,14.1,71.2,10.9,56.5
PR-00516,19.4,57.3,11.8,61.3
PR-00517,16.8,61.8,11.2,60.2
PR-00518,16.2,58.9,11.6,57.9
PR-00519,17.5,55.7,12.3,62.3
PR-00520,17.1,60.6,12.6,61.5
PR-00521,17.8,61.1,11.9,59.3
PR-00522,15.6,68.8,11.4,57.6
PR-00523,18.2,60.1,12.2,61.7
PR-00524,15.5,74.9,10.9,55.8
PR-00525,16.9,62.2,12.5,59.2
PR-00526,17.0,64.9,11.8,56.8
PR-00527,17.1,57.1,11.8,60.8
PR-00528,17.8,60.6,12.1,60.2
PR-00529,16.8,69.6,11.4,56.7
PR-00530,16.2,63.6,12.1,61.0
PR-00531,17.5,58.7,12.5,60.5
PR-00532,14.9,65.4,11.3,56.5
PR-00533,18.2,52.1,12.4,59.1
PR-00534,15.5,63.5,11.0,57.5
PR-00535,18.0,56.7,12.5,60.4
PR-00536,17.3,60.2,11.7,59.7
PR-00537,20.2,55.5,12.3,61.7
PR-00538,18.4,57.1,13.0,62.1
PR-00539,16.1,61.9,11.8,59.7
PR-00540,22.4,44.0,12.8,66.8
PR-00541,19.3,50.7,11.8,61.7
PR-00542,17.9,58.2,11.6,59.9
PR-00543,17.2,63.4,11.9,59.1
PR-00544,16.4,57.9,11.1,57.7
PR-00545,14.9,65.8,11.2,56.6
PR-00546,19.5,51.2,13.1,62.2
PR-00547,18.2,53.7,13.1,61.5
PR-00548,13.6,65.9,10.7,54.7
PR-00549,18.0,58.6,12.5,59.9
PR-00550,19.7,54.6,13.2,62.7
PR-00551,19.0,58.6,11.7,61.0
PR-00552,19.7,53.5,12.4,60.2
PR-00553,16.9,63.9,12.0,58.1
PR-00554,16.6,64.0,11.8,59.4
PR-00555,18.9,56.3,12.7,63.1
PR-00556,16.0,57.5,11.9,61.7
PR-00557,19.5,57.5,12.5,64.2
PR-00558,17.4,64.2,11.8,60.9
PR-00559,20.1,50.6,12.7,61.4
PR-00560,19.0,60.2,11.7,60.2
PR-00561,18.9,52.4,11.7,63.6
PR-00562,15.9,68.1,12.0,59.3
PR-00563,12.9,71.8,10.7,53.4
PR-00564,18.3,51.1,13.3,60.0
PR-00565,18.0,56.5,12.8,60.6
PR-00566,17.9,54.7,12.2,58.9
PR-00567,19.2,51.7,12.3,63.0
PR-00568,15.8,65.0,11.5,58.5
PR-00569,12.3,76.1,10.8,55.0
PR-00570,17.5,57.8,12.0,60.6
PR-00571,17.5,60.1,11.9,59.5
PR-00572,16.4,63.8,12.7,60.2
PR-00573,19.5,62.8,12.5,59.6
PR-00574,15.9,63.1,12.3,58.2
PR-00575,18.9,56.1,11.3,62.6
PR-00576,14.1,62.3,11.8,55.9
PR-00577,18.3,61.0,11.7,58.8
PR-00578,16.7,62.2,12.2,58.4
PR-00579,18.1,59.6,12.2,62.0
PR-00580,16.4,64.3,11.7,58.3
PR-00581,18.1,54.5,12.3,59.8
PR-00582,16.9,63.8,12.9,59.1
PR-00583,13.4,72.5,10.5,55.1
PR-00584,17.5,57.1,12.1,61.7
PR-00585,17.7,62.0,11.7,58.3
PR-00586,18.5,56.2,12.7,60.8
PR-00587,14.8,70.0,11.8,56.9
PR-00588,17.9,58.7,12.5,62.5
PR-00589,17.2,64.8,11.8,59.3
PR-00590,15.7,68.5,11.4,56.9
PR-00591,16.6,63.0,12.2,59.7
PR-00592,16.4,59.0,11.8,60.3
PR-00593,15.4,65.9,11.2,57.0
PR-00594,18.1,58.3,12.8,61.6
PR-00595,19.6,53.8,12.5,63.0
PR-00596,17.0,71.1,12.4,59.9
PR-00597,18.1,54.3,12.5,61.7
PR-00598,18.3,58.9,11.2,58.1
PR-00599,18.6,59.8,12.4,59.7
PR-00600,14.6,68.5,11.2,56.9
PR-00601,16.1,69.8,11.6,56.4
PR-00602,15.0,63.7,11.9,55.8
PR-00603,13.3,64.3,11.4,54.7
PR-00604,14.7,67.3,11.1,55.3
PR-00605,15.5,65.4,11.9,55.4
PR-00606,14.4,68.7,11.8,55.7
PR-00607,17.5,61.5,11.7,60.0
PR-00608,17.8,63.7,12.0,58.9
PR-00609,16.3,61.2,11.6,59.7
PR-00610,17.8,57.2,11.8,61.6
PR-00611,16.1,63.3,12.0,61.4
PR-00612,18.1,58.5,11.7,59.5
PR-00613,17.2,62.7,11.6,58.8
PR-00614,15.6,62.6,12.3,58.2
PR-00615,17.7,62.8,11.8,59.2
PR-00616,13.2,67.9,10.9,54.8
PR-00617,16.5,59.7,12.1,59.3
PR-00618,20.2,47.6,12.0,63.3
PR-00619,18.4,59.0,11.8,60.4
PR-00620,14.6,76.3,11.6,55.2
PR-00621,18.6,60.6,11.6,60.9
PR-00622,19.0,56.6,12.1,62.4
PR-00623,17.3,61.9,11.8,60.0
PR-00624,19.0,50.0,12.1,60.5
PR-00625,20.1,53.0,13.0,65.7
PR-00626,15.9,69.6,11.6,58.5
PR-00627,18.3,56.1,12.8,61.7
PR-00628,16.8,61.9,11.8,57.5
PR-00629,14.8,56.8,12.0,58.6
PR-00630,15.2,64.4,11.0,57.0
PR-00631,17.2,55.4,11.8,60.0
PR-00632,22.6,48.3,14.0,66.6
